"variable","mean","sd","rhat","ess_bulk","ess_tail"
"beta[1]",-3.08004867623333,0.0325933059750553,1.00145824676853,3015.81227252053,3166.57394271913
"beta[2]",-0.0570525343393333,0.00752889404894795,0.999852998647561,3066.94843431722,2947.39852539602
"beta[3]",0.179106127686667,0.0103787855774053,1.00058343594803,3025.7101331089,2748.84991607683
"beta[4]",0.0399077932616333,0.00966073566325912,0.999453309457179,2843.44212264516,2968.54175683301
"beta[5]",0.0509750041493333,0.00555183809227891,1.0001243285463,2977.5792019825,2905.08196168095
"beta[6]",-0.111893651852667,0.0089648322387002,1.00010065235049,3056.44785706494,2964.76193310572
"beta[7]",0.0775478146806667,0.0065419517305804,1.00022921315818,3039.80448517923,3088.55626130717
"beta[8]",-0.0009781236116026,0.00816374590295237,0.999669878244144,2924.82739586254,3031.5404345843
"beta[9]",0.61606418894,0.0348920889024515,1.00064384872048,3042.35079327464,2954.32115867969
"beta[10]",1.12202597243333,0.0329054896636065,1.00200736842182,2952.46403530801,3024.1690246652
"beta[11]",0.785523888886667,0.0332393986567979,1.00062687629615,2991.7453543569,3058.63630434172
